"Date","Price","Open","High","Low","Vol.","Change %"
"11/15/2020","15,951.6","16,070.7","16,075.8","15,866.8","0.04K","-0.74%"
"11/14/2020","16,070.7","16,328.4","16,328.4","15,843.2","0.12K","-1.58%"
"11/13/2020","16,328.4","16,287.6","16,432.1","16,160.0","0.13K","0.25%"
"11/12/2020","16,287.6","15,690.3","16,287.6","15,615.4","0.22K","3.81%"
"11/11/2020","15,690.3","15,295.9","15,838.9","15,295.9","0.22K","2.58%"
"11/10/2020","15,295.9","15,314.3","15,364.7","15,243.3","0.12K","-0.12%"
"11/09/2020","15,314.3","15,473.0","15,612.4","14,926.0","0.21K","-1.03%"
"11/08/2020","15,473.0","14,805.0","15,520.0","14,805.0","0.19K","4.43%"
"11/07/2020","14,816.5","15,571.3","15,632.3","14,800.0","0.20K","-4.85%"
"11/06/2020","15,571.3","15,586.0","15,871.3","15,411.0","0.27K","-0.09%"
"11/05/2020","15,586.0","14,141.2","15,586.0","14,141.2","0.31K","10.22%"
"11/04/2020","14,141.2","14,013.4","14,141.5","13,662.4","0.16K","0.91%"
"11/03/2020","14,013.4","13,559.5","14,013.4","13,333.8","0.12K","3.35%"
"11/02/2020","13,559.5","13,753.7","13,762.9","13,406.7","0.14K","-1.41%"
"11/01/2020","13,753.7","13,794.5","13,840.0","13,693.3","0.08K","-0.30%"
"10/31/2020","13,794.7","13,550.4","13,956.5","13,503.5","0.13K","1.80%"
"10/30/2020","13,550.4","13,452.1","13,585.2","13,231.0","0.11K","0.73%"
"10/29/2020","13,452.1","13,271.9","13,523.4","13,134.2","0.06K","1.36%"
"10/28/2020","13,271.9","13,648.5","13,748.3","13,190.9","0.14K","-2.76%"
"10/27/2020","13,648.5","13,050.0","13,671.1","13,050.0","0.16K","4.59%"
"10/26/2020","13,050.0","13,024.5","13,130.6","12,936.8","0.10K","0.20%"
"10/25/2020","13,024.5","13,115.2","13,270.0","12,937.8","0.08K","-0.69%"
"10/24/2020","13,115.2","12,921.0","13,119.6","12,913.5","0.08K","1.50%"
"10/23/2020","12,921.0","12,968.6","12,991.8","12,861.5","0.09K","-0.37%"
"10/22/2020","12,968.6","12,796.7","13,133.7","12,758.2","0.15K","1.34%"
"10/21/2020","12,796.7","11,910.3","12,900.0","11,910.3","0.30K","7.44%"
"10/20/2020","11,910.3","11,743.7","11,970.0","11,716.8","0.09K","1.42%"
"10/19/2020","11,743.7","11,489.7","11,743.7","11,434.0","0.12K","2.21%"
"10/18/2020","11,489.7","11,362.8","11,489.7","11,362.8","0.07K","1.12%"
"10/17/2020","11,362.8","11,312.9","11,362.8","11,303.6","0.04K","0.44%"
"10/16/2020","11,312.9","11,486.1","11,503.1","11,256.1","0.08K","-1.51%"
"10/15/2020","11,486.1","11,417.4","11,486.1","11,298.0","0.06K","0.60%"
"10/14/2020","11,417.4","11,427.8","11,451.7","11,324.1","0.07K","-0.09%"
"10/13/2020","11,427.8","11,535.0","11,535.0","11,375.0","0.06K","-0.94%"
"10/12/2020","11,536.4","11,375.7","11,638.3","11,267.7","0.10K","1.41%"
"10/11/2020","11,375.7","11,295.4","11,411.0","11,295.4","0.06K","0.71%"
"10/10/2020","11,295.4","11,057.7","11,406.6","11,057.7","0.09K","2.15%"
"10/09/2020","11,057.7","10,917.7","11,063.5","10,865.8","0.07K","1.31%"
"10/08/2020","10,914.4","10,665.0","10,914.4","10,592.5","0.08K","2.34%"
"10/07/2020","10,665.0","10,600.4","10,665.0","10,585.3","0.04K","0.61%"
"10/06/2020","10,600.4","10,780.0","10,780.0","10,567.5","0.06K","-1.67%"
"10/05/2020","10,780.0","10,667.0","10,780.0","10,660.4","0.05K","1.06%"
"10/04/2020","10,667.0","10,544.7","10,671.1","10,544.7","0.04K","1.16%"
"10/03/2020","10,544.7","10,562.8","10,577.1","10,529.0","0.04K","-0.17%"
"10/02/2020","10,562.8","10,619.1","10,619.1","10,431.1","0.07K","-0.53%"
"10/01/2020","10,619.1","10,763.1","10,882.1","10,514.8","0.08K","-1.34%"
"09/30/2020","10,763.1","10,834.7","10,834.7","10,707.4","0.07K","-0.66%"
"09/29/2020","10,834.7","10,695.2","10,834.7","10,684.3","0.07K","1.30%"
"09/28/2020","10,695.2","10,767.3","10,914.5","10,695.2","0.08K","-0.67%"
"09/27/2020","10,767.3","10,730.8","10,770.9","10,636.4","0.10K","0.34%"
"09/26/2020","10,730.8","10,677.8","10,756.9","10,660.2","0.07K","0.50%"
"09/25/2020","10,677.8","10,732.4","10,737.0","10,600.0","0.07K","-0.51%"
"09/24/2020","10,732.4","10,233.0","10,732.4","10,233.0","0.07K","4.88%"
"09/23/2020","10,233.0","10,532.9","10,532.9","10,219.5","0.09K","-2.85%"
"09/22/2020","10,532.9","10,423.0","10,532.9","10,415.1","0.07K","1.05%"
"09/21/2020","10,423.0","10,922.4","10,963.4","10,392.5","0.12K","-4.57%"
"09/20/2020","10,922.4","11,074.4","11,074.4","10,858.5","0.07K","-1.37%"
"09/19/2020","11,074.4","10,928.0","11,101.7","10,918.8","0.06K","1.35%"
"09/18/2020","10,927.3","10,927.4","11,010.1","10,873.8","0.08K","0.00%"
"09/17/2020","10,927.4","10,948.2","10,948.2","10,854.2","0.07K","-0.19%"
"09/16/2020","10,948.2","10,782.0","11,032.1","10,683.8","0.09K","1.54%"
"09/15/2020","10,782.0","10,667.3","10,878.2","10,667.3","0.07K","1.08%"
"09/14/2020","10,667.3","10,308.2","10,691.8","10,302.0","0.07K","3.48%"
"09/13/2020","10,308.2","10,433.8","10,547.0","10,274.5","0.05K","-1.20%"
"09/12/2020","10,433.8","10,384.5","10,464.9","10,284.5","0.04K","0.47%"
"09/11/2020","10,384.5","10,349.3","10,384.5","10,228.3","0.07K","0.34%"
"09/10/2020","10,349.3","10,222.5","10,447.2","10,222.5","0.07K","1.24%"
"09/09/2020","10,222.5","10,116.0","10,321.9","9,994.7","0.06K","1.05%"
"09/08/2020","10,116.0","10,365.7","10,365.7","9,927.6","0.06K","-2.41%"
"09/07/2020","10,365.7","10,248.0","10,365.7","9,936.9","0.07K","1.15%"
"09/06/2020","10,248.0","10,165.2","10,248.0","10,087.5","0.05K","0.81%"
"09/05/2020","10,165.2","10,454.6","10,499.4","10,073.3","0.12K","-2.77%"
"09/04/2020","10,454.6","10,267.5","10,543.3","10,264.2","0.11K","1.82%"
"09/03/2020","10,267.5","11,391.9","11,391.9","10,267.5","0.15K","-9.87%"
"09/02/2020","11,391.9","11,927.3","11,927.3","11,300.2","0.10K","-4.49%"
"09/01/2020","11,927.3","11,656.4","12,002.3","11,608.9","0.09K","2.32%"
"08/31/2020","11,656.4","11,707.4","11,728.5","11,616.9","0.04K","-0.44%"
"08/30/2020","11,707.4","11,478.7","11,707.4","11,478.7","0.02K","1.99%"
"08/29/2020","11,478.7","11,522.6","11,543.9","11,465.0","0.02K","-0.38%"
"08/28/2020","11,522.6","11,319.0","11,523.0","11,290.5","0.04K","1.80%"
"08/27/2020","11,319.0","11,458.3","11,458.3","11,220.0","0.06K","-1.22%"
"08/26/2020","11,458.3","11,337.3","11,494.9","11,284.4","0.05K","1.07%"
"08/25/2020","11,337.3","11,753.5","11,756.0","11,229.2","0.08K","-3.58%"
